#fraction  weak_link_removal_lcc susceptibility strong_link_removal_lcc susceptibility
0.91125 0.003 3.9002 0.1949 4.3705 0.962795
0.9125 0.003 3.8326 0.1875 4.2263 0.949235
0.91375 0.003 3.7728 0.1765 3.9887 0.935674
0.914375 0.003 3.7456 0.16 4.5588 0.928894
0.915 0.003 3.7228 0.1559 4.4609 0.922114
0.91625 0.003 3.6658 0.1388 5.2692 0.908553
0.9175 0.003 3.5956 0.1251 5.8655 0.894993
0.91875 0.003 3.5192 0.1187 5.6437 0.881432
0.918828 0.003 3.5156 0.0948 10.68 0.880585
0.918906 0.003 3.5118 0.0948 10.6284 0.879737
0.918984 0.003 3.5014 0.0601 22.4623 0.87889
0.919063 0.003 3.4982 0.0601 22.4601 0.878042
0.919375 0.003 3.4864 0.0597 22.2123 0.874652
0.92 0.003 3.456 0.0568 19.9522 0.867872
0.9225 0.0027 3.3523 0.0393 15.3507 0.840751
0.925 0.0025 3.2267 0.0349 13.7315 0.81363
0.93 0.0021 2.9881 0.0205 7.4225 0.759388
0.94 0.0018 2.55 0.0079 4.3915 0.650904
0.96 0.0014 1.8802 0.0033 2.1735 0.433936
0.98 0.0011 1.3429 0.0015 1.4065 0.216968
1 0.0001 0.9999 0.0001 0.9999 0
